Name,Days Since Last Practiced,Freq,Last Practiced,Tune Type,Tunes,☑️ Practiced
Caislean an or / Her Lovely Hair Was Flowing Down Her Back/ Rights of Man,6,6,"April 11, 2026",Hornpipe,"Caisleán an Óir (https://www.notion.so/Caisle-n-an-ir-26c04f42e3e0806a825bc6ea008d79d8?pvs=21), Her Lovely Hair Was Flowing Down Her Back (https://www.notion.so/Her-Lovely-Hair-Was-Flowing-Down-Her-Back-2a704f42e3e080918b14e31f02a8b3f7?pvs=21)",
Fermoy Lasses / Sporting Paddy / Star of Munster,50,6,"February 26, 2026",Reel,"Fermoy Lasses (https://www.notion.so/Fermoy-Lasses-24004f42e3e080739c02c659e50b853f?pvs=21), Sporting Paddy (https://www.notion.so/Sporting-Paddy-323d0a89abeb4931ab08147ef53f14ab?pvs=21), The Otter's Holt (https://www.notion.so/The-Otter-s-Holt-aeb0b8d7d9d349a1bd04540c2e79321a?pvs=21)",
Trip to Durrow / Bird in the Bush / Laurel Tree,17,6,"March 31, 2026",Reel,"Trip to Durrow (https://www.notion.so/Trip-to-Durrow-2d004f42e3e080d296a2dccc031601c6?pvs=21), Bird in the Bush (https://www.notion.so/Bird-in-the-Bush-127095877e7a42d4ba02594684b406a6?pvs=21), The Laurel Tree (https://www.notion.so/The-Laurel-Tree-14504f42e3e0808b878ed27e1351f1a0?pvs=21)",
Haunted House / Spotted Dog / Stan Chapman’s,65,5,"February 11, 2026",Jig,"The Haunted House (https://www.notion.so/The-Haunted-House-55f2c2df22c244568c339e122add4bf3?pvs=21), The Spotted Dog (https://www.notion.so/The-Spotted-Dog-0b7225445a0047f7a0cadab25f006f1b?pvs=21), Stan Chapman’s (https://www.notion.so/Stan-Chapman-s-47c24d49ccbd460995da1c9046f23eab?pvs=21)",
Apples in Winter / Mooncoin / Miller’s Maggot,,6,,Jig,"Apples in Winter (https://www.notion.so/Apples-in-Winter-fc613a69d96e41c5bdec4a6f35359602?pvs=21), The Mooncoin (https://www.notion.so/The-Mooncoin-4599a4006eff4634856494ce80c98db0?pvs=21), Miller’s Maggot (https://www.notion.so/Miller-s-Maggot-93406d4f176041daaa260167b4cfafd3?pvs=21)",
Kitty Lie Over / Munster’s Buttermilk / Connaughtman’s Rambles,10,5,"April 7, 2026",Jig,"Kitty Lie Over (https://www.notion.so/Kitty-Lie-Over-21a04f42e3e0802c8739fae6eeeae963?pvs=21), Munster Buttermilk (https://www.notion.so/Munster-Buttermilk-26204f42e3e080d1b0f8db2836fb5e31?pvs=21), The Connachtman's Rambles (https://www.notion.so/The-Connachtman-s-Rambles-239e5e8a25604e9fb5d9f55b865da470?pvs=21)",
Whelans / Fraher’s / The Yellow Wattle,51,6,"February 25, 2026",Jig,"Fraher's (https://www.notion.so/Fraher-s-29304f42e3e080c4a5e4dbc02d00edc9?pvs=21), The Yellow Wattle (https://www.notion.so/The-Yellow-Wattle-29804f42e3e080f19160c1a20bee8159?pvs=21), Whelan's Jig  (https://www.notion.so/Whelan-s-Jig-8c851c4f83f24ce8b4b50e05c69e9b54?pvs=21)",
" DeVaney’s Goat / Miss Monaghan’s / Humours of Tulla",17,6,"March 31, 2026",Jig,"Miss Monaghan (https://www.notion.so/Miss-Monaghan-1de04f42e3e080d68159dc4e00b2bef8?pvs=21), Devaney’s Goat (https://www.notion.so/Devaney-s-Goat-25504f42e3e08051b33ec161abfadcbb?pvs=21), Humours of Tulla (https://www.notion.so/Humours-of-Tulla-25d04f42e3e0809d8feed8590d4a1c26?pvs=21)",
Willie O’Connell’s / The Rolling Wave / Scatter the Mud,,5,,Jig,"Willie O’Connell’s (https://www.notion.so/Willie-O-Connell-s-4500b482b24f4e4fb147abb3b36560b7?pvs=21), The Rolling Wave (Jig) (https://www.notion.so/The-Rolling-Wave-Jig-24904f42e3e080d9b52cc82d744be925?pvs=21), Scatter the Mud  (https://www.notion.so/Scatter-the-Mud-f7f5a04fd01d441e9bb23fb63171df6f?pvs=21)",
Sunny Hills of Beara / Woods of Caol Rua / Joe Liddy’s,16,5,"April 1, 2026",Jig,"Joe Liddy's  (https://www.notion.so/Joe-Liddy-s-1db04f42e3e08066a41ee3b4d39ce7da?pvs=21), The Woods of Caol Rua (https://www.notion.so/The-Woods-of-Caol-Rua-13d04f42e3e0802cbb4cd4c428d92849?pvs=21), The Sunny Hills Of Beara (https://www.notion.so/The-Sunny-Hills-Of-Beara-11a04f42e3e0803aa72bfd5ea458a31b?pvs=21)",
